Entry,Text,Category
Ocean Ruins,"Ocean ruins are structures primarily composed of stone bricks or sandstone . They are found in ocean biomes and rarely on beaches . They contain chests , suspicious sand , and suspicious gravel , which hold a variety of loot , notably the buried treasure map and the sniffer egg . These ruins have cold and warm underwater variants that vary from large villages to single ruined huts.",Structure
Pile,"A pile is a feature that generates up to 25 specific blocks, the type of which correspond to the theme of a given village .",Structure
Pillager Outpost,A pillager outpost is an assortment of structures inhabited by pillagers .,Structure
Ruined Portal,"A ruined portal is a structure resembling a damaged nether portal , which generates in both the Nether and the Overworld . It contains some decoration and (usually) a loot chest around it.",Structure
Shipwreck,A shipwreck is a structure found in oceanic biomes that resembles a sunken sailing ship.,Structure
Stronghold,"A stronghold is a structure that occurs naturally underground in the Overworld , and is the only place where an end portal can be found. Strongholds can be located by using an eye of ender .",Structure
Swamp Hut,Swamp huts (also known as witch huts ) are small structures that have the ability to spawn witches and black cats .,Structure
Trail Ruins,Trail ruins are buried structures that work as archaeological sites where suspicious gravel generates. They are found in heavily forested biomes and resemble ruined villages from a lost culture. [1],Structure
Trial Chambers,"Trial chambers (inconsistently plural in-game [n 1] ) are underground structures that serve as a mid-game combat challenge. [1] They consist mostly of copper blocks and tuff bricks , and are the only place where trial spawners and vaults naturally generate. Trial chambers are also the only place where breezes spawn, whose breeze rods can be used to craft wind charges . Various materials such as heavy cores and certain armor trims are obtained exclusively by unlocking vaults in trial chambers. As it is the only source of breeze rods and heavy cores, the structure is also the location where maces are obtained.",Structure
Village,"A village is a group or complex of buildings and other structures that generate naturally in the Overworld . A village is inhabited by villagers , as people, cats , as pets/strays, iron golems , for defense, passive livestock mobs, for farms, and wandering traders with their trader llamas . A village is a source of resources to the player , obtained from trading , loot chests , and other materials found in the village. Villages are also a target of illager raids when a player with the Bad Omen effect enters a village, transforming it into Raid Omen , triggering a raid.",Structure
Void start platform,The Void start platform is a feature of 33×33 square of stone with a single block of cobblestone in the center. One can generate at the origin of Superflat and Buffet worlds if in the_void biome .,Structure
Woodland Mansion,"A woodland mansion is a massive systematically-generated structure found in dark forests , often far away from the world spawn point . A mansion is inhabited by vindicators , evokers , and allays , and is one of the only places where a totem of undying can be obtained. Besides illagers , a mansion's interior lighting is sufficiently low for other Overworld monsters to spawn.",Structure
